gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000000876.11	705	343	812	527	677	749	605	382	541	259	329	266	402	283	299	
ENSMUSG00000000881.12	2220	1105	2113	1424	2716	822	2241	1156	1850	1321	1383	1304	1239	1050	1128	
ENSMUSG00000000884.16	67	31	124	72	42	41	61	34	58	66	116	49	75	59	102	
ENSMUSG00000000889.8	28	17	117	197	194	16	43	26	45	5	2	4	3	4	1	
ENSMUSG00000000901.15	135	62	308	38	85	23	45	23	101	256	295	172	209	122	325	
ENSMUSG00000000902.13	1224	565	1559	1556	1235	823	1518	845	1575	1405	2250	1162	1571	1484	1836	
ENSMUSG00000000903.3	3	3	10	150	6	3	53	16	141	7	6	18	13	10	11	
ENSMUSG00000000915.15	1625	700	1720	2199	2391	1296	1997	1260	1991	1574	1435	1053	1476	1555	1174	
ENSMUSG00000000916.15	204	93	306	152	109	84	181	96	212	131	173	111	146	150	176	
ENSMUSG00000000934.8	194	72	240	178	102	79	200	103	214	177	287	101	188	158	183	
ENSMUSG00000000938.11	1231	696	1443	979	1525	128	1597	1080	1477	1239	1590	952	1031	888	1394	
ENSMUSG00000000942.10	23	12	57	69	10	13	19	6	12	13	9	21	21	13	14	
ENSMUSG00000000948.16	2	9	10	1	6	3	1	4	0	4	5	4	1	1	1	
ENSMUSG00000000957.9	1092	581	1530	1010	1131	421	1271	489	1164	5176	6165	3514	4772	3770	4933	
ENSMUSG00000000958.9	488	231	598	832	1031	561	887	469	789	774	973	598	903	636	1125	
ENSMUSG00000000959.6	2310	980	2590	1472	1228	1093	2070	942	1846	1369	1965	1142	1473	1148	1591	
ENSMUSG00000000976.13	441	184	542	292	391	233	449	278	417	463	616	392	489	380	489	
ENSMUSG00000000982.5	0	1	6	603	20	5	7	4	13	15	53	13	17	23	37	
ENSMUSG00000000983.13	104	57	75	5546	1118	231	1604	1210	3016	5449	15253	2594	7488	4539	15027	
ENSMUSG00000001014.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000001016.12	1432	773	1583	1654	929	840	1666	837	1783	1999	3068	1480	2000	1466	2250	
ENSMUSG00000001017.15	3283	1674	3489	2921	2708	1817	3477	1922	3747	3431	4519	2898	3164	2593	3437	
ENSMUSG00000001018.15	986	471	1221	470	503	332	597	337	686	734	790	646	649	650	780	
ENSMUSG00000001020.8	104	41	100	66	41	12	44	37	42	65	39	41	39	80	22	
ENSMUSG00000001021.12	38	3	3	4	1	0	1	5	3	65	4	34	17	167	8	
ENSMUSG00000001023.10	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	
ENSMUSG00000001025.8	39468	24136	42511	38683	56879	17575	43360	31298	46995	27462	32558	23724	26226	27735	33318	
ENSMUSG00000001027.7	58	1	10	17	0	0	5	5	26	1	1	4	11	4	0	
ENSMUSG00000001029.15	39	30	116	123	36	19	56	26	90	21	45	37	44	36	17	
