gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000090191.1	205	142	329	61	43	80	246	98	186	152	206	92	98	91	137	
ENSMUSG00000090192.1	13	13	20	1	1	2	7	1	4	0	4	8	4	3	1	
ENSMUSG00000090193.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090194.1	6	3	2	1	7	0	2	3	1	4	6	3	0	1	5	
ENSMUSG00000090197.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090199.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090200.1	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	
ENSMUSG00000090202.1	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	
ENSMUSG00000090203.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090206.8	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	
ENSMUSG00000090207.2	10	4	7	9	7	1	3	3	7	7	11	1	1	2	6	
ENSMUSG00000090208.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000090210.7	56	13	89	23	59	12	26	28	48	46	34	25	39	21	32	
ENSMUSG00000090211.2	0	0	5	1	1	0	1	0	1	2	1	0	0	0	0	
ENSMUSG00000090212.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090213.1	980	534	994	1801	2169	1398	1492	946	1230	733	979	639	896	705	706	
ENSMUSG00000090214.7	6	4	16	3	28	7	16	3	8	27	9	8	27	8	15	
ENSMUSG00000090215.9	10	7	14	6	14	1	9	3	9	4	4	4	5	1	2	
ENSMUSG00000090216.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000090217.1	2	1	0	1	0	0	0	1	0	1	1	0	5	0	0	
ENSMUSG00000090219.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090220.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000090222.1	14	0	20	6	1	1	2	3	1	4	2	10	13	8	2	
ENSMUSG00000090223.1	334	159	546	59	20	32	24	36	43	37	9	45	20	13	0	
ENSMUSG00000090224.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090226.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000090227.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090228.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000090230.1	0	0	1	1	1	0	1	0	1	5	0	0	0	0	3	
ENSMUSG00000090231.10	105	41	60	51	250	43	173	28	84	79	127	103	113	44	61	
ENSMUSG00000090232.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090235.1	4	1	13	2	1	1	2	2	3	2	6	3	1	1	0	
ENSMUSG00000090236.2	3	1	10	1	2	1	4	6	0	5	2	5	11	1	2	
ENSMUSG00000090237.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090242.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090243.1	0	1	0	0	2	1	1	1	2	1	1	1	0	0	1	
ENSMUSG00000090244.1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	
ENSMUSG00000090246.1	3	1	0	6	4	0	2	1	3	2	0	1	0	1	2	
ENSMUSG00000090247.7	181	92	273	149	126	100	190	85	178	91	93	78	109	69	74	
ENSMUSG00000090248.1	4	1	20	3	3	3	3	4	4	11	7	3	1	5	4	
ENSMUSG00000090249.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090252.1	2	0	1	5	0	0	6	3	11	2	0	2	2	0	0	
ENSMUSG00000090254.7	9	11	17	13	18	55	56	30	34	29	34	48	32	18	41	
ENSMUSG00000090255.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
ENSMUSG00000090256.1	1	4	10	0	1	0	0	0	1	0	0	0	2	1	0	
ENSMUSG00000090257.1	16	8	16	5	6	0	3	3	2	3	0	3	5	20	1	
ENSMUSG00000090258.7	276	160	364	327	205	243	329	181	342	149	276	152	152	178	234	
ENSMUSG00000090259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090260.1	1	0	0	0	0	2	1	0	0	1	1	0	0	0	1	
ENSMUSG00000090263.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000090264.1	246	89	288	238	408	222	361	173	256	31	54	56	72	33	38	
ENSMUSG00000090265.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090266.10	471	254	517	356	390	334	605	292	512	282	379	284	349	267	368	
ENSMUSG00000090268.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000090270.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090272.7	102	47	155	261	112	38	184	159	425	97	108	149	124	54	49	
ENSMUSG00000090273.3	5	9	9	17	15	4	6	14	7	20	8	9	12	12	25	
ENSMUSG00000090277.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090284.2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
ENSMUSG00000090286.1	2	1	2	3	1	0	2	1	0	0	1	1	0	1	0	
ENSMUSG00000090290.2	295	126	379	72	146	45	203	103	202	135	143	124	129	173	114	
ENSMUSG00000090291.2	19	9	42	30	8	2	5	0	4	7	4	7	2	3	2	
ENSMUSG00000090292.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090293.1	0	1	2	0	3	1	1	0	0	1	0	0	0	0	1	
ENSMUSG00000090298.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090300.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090302.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090303.3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000090304.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090305.2	0	0	1	0	0	0	0	4	1	0	1	0	1	0	0	
ENSMUSG00000090306.5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090307.7	2	0	3	0	1	0	1	0	1	10	5	8	3	1	1	
ENSMUSG00000090308.1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090314.2	1	0	0	0	0	0	0	0	1	1	1	0	3	0	0	
ENSMUSG00000090315.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090317.1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000090318.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090319.1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000090322.1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	
ENSMUSG00000090323.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090326.1	1	1	3	2	12	0	2	1	4	0	5	2	2	0	1	
ENSMUSG00000090327.1	5	0	8	4	8	2	4	1	7	23	4	4	4	7	3	
ENSMUSG00000090328.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090329.1	0	0	1	3	0	0	4	0	0	0	0	0	0	0	3	
ENSMUSG00000090330.2	54	22	83	40	52	30	46	25	41	50	59	41	39	20	34	
ENSMUSG00000090331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090332.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090333.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090334.1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	
ENSMUSG00000090336.4	3	3	5	4	1	0	0	0	3	1	0	0	0	0	0	
ENSMUSG00000090338.1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090341.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090342.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090346.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090351.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090352.3	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	
ENSMUSG00000090353.2	12	2	7	3	4	1	2	1	3	6	3	3	2	5	2	
ENSMUSG00000090355.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090356.2	339	1	2	2	29	2	105	14	8	61	6	24	106	641	11	
ENSMUSG00000090357.1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	
ENSMUSG00000090358.1	6	0	3	7	7	2	6	1	6	3	6	0	3	0	3	
ENSMUSG00000090362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090363.8	3	1	2	1	2	0	0	0	0	5	0	1	1	0	0	
ENSMUSG00000090364.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090369.3	0	0	3	0	1	0	1	0	1	3	1	0	2	2	0	
ENSMUSG00000090370.3	4	1	10	1	0	1	7	4	1	7	8	9	6	7	7	
ENSMUSG00000090374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090379.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090381.1	6	3	12	8	2	12	5	6	10	3	2	8	6	4	12	
ENSMUSG00000090383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090386.9	12	1	23	5	2	7	4	2	3	13	4	4	4	6	7	
ENSMUSG00000090387.1	2	0	2	0	1	0	0	0	0	0	2	0	0	2	0	
ENSMUSG00000090389.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090394.8	287	149	477	117	137	48	206	92	265	349	314	238	351	301	385	
ENSMUSG00000090395.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090396.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090397.1	5	1	7	1	2	1	5	1	1	6	2	8	1	3	1	
ENSMUSG00000090399.1	3	0	6	2	7	2	1	0	4	5	3	4	3	1	5	
ENSMUSG00000090404.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090406.1	1	1	3	5	1	0	2	1	1	1	1	0	0	1	0	
ENSMUSG00000090408.1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	
ENSMUSG00000090411.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090417.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090427.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090429.3	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	
ENSMUSG00000090436.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090439.1	0	0	1	1	1	0	1	0	0	10	1	0	4	5	5	
ENSMUSG00000090440.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090441.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090449.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090451.1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	
ENSMUSG00000090455.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090457.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090458.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090459.1	0	0	4	5	0	0	0	1	1	4	4	0	1	2	1	
ENSMUSG00000090460.3	1	0	2	0	0	2	1	2	3	0	0	1	1	0	0	
ENSMUSG00000090461.2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090462.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090464.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090466.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090467.3	18	14	32	31	15	16	24	18	24	16	30	20	26	10	16	
ENSMUSG00000090468.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000090470.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090471.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090472.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090474.3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	
ENSMUSG00000090475.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090476.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090478.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090481.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090482.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090486.2	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	
ENSMUSG00000090487.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090489.3	1	1	2	3	3	0	4	0	2	1	0	1	3	1	0	
ENSMUSG00000090494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090497.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090500.1	2	0	2	0	1	0	1	2	0	0	0	0	0	0	0	
ENSMUSG00000090505.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090509.2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	
ENSMUSG00000090512.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090515.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090516.1	3	1	3	9	5	0	17	1	2	1	5	2	5	0	7	
ENSMUSG00000090519.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090523.2	220	133	355	128	102	28	106	46	145	50	79	76	75	31	31	
ENSMUSG00000090527.2	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000090533.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090534.1	19	7	17	7	5	9	26	5	22	41	56	19	21	27	43	
ENSMUSG00000090535.1	90	43	28	101	539	0	96	38	52	17	23	27	33	21	10	
ENSMUSG00000090538.1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	
ENSMUSG00000090539.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090544.2	2	3	5	4	3	0	3	1	4	1	1	4	2	0	1	
ENSMUSG00000090546.1	2	0	5	1	0	1	0	0	1	0	0	0	0	0	0	
ENSMUSG00000090547.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090549.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000090550.2	3	0	2	1	7	1	0	2	3	1	2	1	0	0	0	
ENSMUSG00000090551.1	0	1	4	2	2	0	1	1	7	2	4	2	3	2	1	
ENSMUSG00000090552.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090553.8	1551	870	1806	2418	1103	1270	1997	1247	2583	1484	2457	1093	1478	1172	1869	
ENSMUSG00000090555.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090556.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000090558.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090559.1	0	0	0	3	0	0	0	1	1	1	0	1	1	0	1	
ENSMUSG00000090561.2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	
ENSMUSG00000090564.8	24	13	25	11	21	3	16	4	8	18	6	11	24	13	12	
ENSMUSG00000090565.7	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	
ENSMUSG00000090570.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090572.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090574.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090576.2	23	8	16	20	12	17	19	8	18	33	22	10	12	25	23	
ENSMUSG00000090577.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090578.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090581.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090582.1	5	3	7	1	6	0	2	0	3	5	1	3	6	3	2	
ENSMUSG00000090584.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090585.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090588.2	54	2	1	4	0	0	6	2	1	29	5	19	25	310	23	
ENSMUSG00000090589.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090592.2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
ENSMUSG00000090594.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090598.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090602.3	0	1	1	3	0	1	4	0	0	1	1	1	1	0	0	
ENSMUSG00000090603.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090607.1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	
ENSMUSG00000090608.1	2	2	8	2	1	0	3	5	4	1	8	0	2	1	2	
ENSMUSG00000090610.3	0	7	5	13	16	2	20	7	27	13	27	12	10	12	7	
ENSMUSG00000090618.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090619.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090622.1	11	9	29	7	10	5	7	5	7	16	10	8	8	17	4	
ENSMUSG00000090623.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090624.1	0	0	2	0	1	1	1	1	0	1	0	2	1	1	0	
ENSMUSG00000090625.1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	
ENSMUSG00000090626.9	38	16	61	13	31	85	20	33	20	65	41	22	43	47	39	
ENSMUSG00000090627.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090628.1	0	1	6	0	0	0	0	0	0	1	0	0	1	0	3	
ENSMUSG00000090629.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000090631.3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
ENSMUSG00000090634.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090636.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090637.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090638.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090639.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090641.1	24	10	23	12	12	16	19	18	39	22	23	20	20	10	28	
ENSMUSG00000090642.2	3	1	9	0	1	0	6	0	2	0	2	0	0	0	1	
ENSMUSG00000090643.8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000090655.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090657.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090658.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090659.8	18	14	37	10	19	9	39	19	40	11	20	8	18	24	13	
ENSMUSG00000090660.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000090662.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090665.1	1	0	2	5	6	0	3	3	0	3	7	5	6	16	10	
ENSMUSG00000090666.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090667.2	50	15	46	0	0	0	0	1	0	5	0	1	12	4	0	
ENSMUSG00000090671.1	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000090673.1	44	21	15	26	64	30	28	12	36	68	60	36	54	54	48	
ENSMUSG00000090674.1	12	3	4	0	9	10	11	2	34	5	2	5	2	2	5	
ENSMUSG00000090675.2	0	0	2	0	2	0	0	0	0	1	0	2	1	0	1	
ENSMUSG00000090681.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090682.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000090684.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090685.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090688.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090690.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090691.3	1	1	2	0	0	0	1	0	1	0	1	1	1	0	0	
ENSMUSG00000090692.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090693.4	0	0	1	1	0	2	0	0	1	3	0	0	0	0	0	
ENSMUSG00000090698.2	45	28	159	77	59	8	29	17	45	29	50	47	75	69	41	
ENSMUSG00000090699.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090700.1	591	217	694	1496	1857	1613	1384	1058	1753	170	606	573	545	295	345	
ENSMUSG00000090701.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090704.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090706.1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090707.8	2	2	1	0	0	0	1	0	0	0	0	1	0	0	0	
ENSMUSG00000090708.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090709.1	2	0	1	1	0	4	1	0	1	1	1	0	1	0	0	
ENSMUSG00000090710.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090713.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090714.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090715.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090716.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090718.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090722.7	2	2	4	0	9	0	2	2	4	7	2	1	5	6	1	
ENSMUSG00000090724.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090726.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090727.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090728.1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000090731.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090732.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090733.6	18009	10559	24878	14081	9404	10767	21883	13864	26540	7658	10761	8237	8765	8322	8415	
ENSMUSG00000090736.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090737.1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	
ENSMUSG00000090738.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090740.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090742.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090744.7	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	
ENSMUSG00000090747.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090750.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090751.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090753.1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	
ENSMUSG00000090758.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090761.1	133	73	220	258	126	72	117	91	164	168	273	74	160	158	195	
ENSMUSG00000090762.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090764.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090765.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090772.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090773.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090774.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090777.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090778.1	1	1	1	7	0	3	0	3	3	0	1	1	2	2	1	
ENSMUSG00000090779.1	0	1	8	1	0	0	1	2	5	0	3	0	1	0	6	
ENSMUSG00000090781.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090782.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090785.1	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
ENSMUSG00000090788.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090790.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090793.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090794.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000090795.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
