11096_at, ADAMTS5
11097_at, NUPL2
11098_at, PRSS23
11099_at, PTPN21
1109_at, AKR1C4
11100_at, HNRNPUL1
11102_at, RPP14
11103_at, KRR1
11104_at, KATNA1
11107_at, PRDM5
11108_at, PRDM4
11113_at, CIT
11116_at, FGFR1OP
11117_at, EMILIN1
11118_at, BTN3A2
11119_at, BTN3A1
1111_at, CHEK1
11120_at, BTN2A1
11122_at, PTPRT
11123_at, RCAN3
11124_at, FAF1
11126_at, CD160
11127_at, KIF3A
11129_at, CLASRP
1112_at, FOXN3
11130_at, ZWINT
11131_at, CAPN11
11132_at, CAPN10
11133_at, KPTN
11135_at, CDC42EP1
11136_at, SLC7A9
11137_at, PWP1
11138_at, TBC1D8
1113_at, CHGA
11140_at, CDC37
11142_at, PKIG
11144_at, DMC1
11145_at, PLA2G16
11146_at, GLMN
11147_at, HHLA3
11148_at, HHLA2
1114_at, CHGB
11151_at, CORO1A
11152_at, WDR45
11153_at, FICD
11154_at, AP4S1
11155_at, LDB3
11156_at, PTP4A3
11157_at, LSM6
11160_at, ERLIN2
11161_at, C14orf1
11162_at, NUDT6
11163_at, NUDT4
11166_at, SOX21
11167_at, FSTL1
11168_at, PSIP1
11169_at, WDHD1
1116_at, CHI3L1
11170_at, FAM107A
11171_at, STRAP
11172_at, INSL6
11174_at, ADAMTS6
11176_at, BAZ2A
11177_at, BAZ1A
11178_at, LZTS1
11179_at, ZNF277
1117_at, CHI3L2
11180_at, WDR6
11181_at, TREH
11182_at, SLC2A6
11183_at, MAP4K5
11184_at, MAP4K1
11186_at, RASSF1
11187_at, PKP3
11188_at, NISCH
11189_at, CELF3
1118_at, CHIT1
11190_at, CEP250
11193_at, WBP4
11194_at, ABCB8
11196_at, SEC23IP
11197_at, WIF1
11198_at, SUPT16H
11199_at, ANXA10
1119_at, CHKA
11201_at, POLI
11202_at, KLK8
11211_at, FZD10
11212_at, PROSC
11213_at, IRAK3
11214_at, AKAP13
11215_at, AKAP11
11216_at, AKAP10
11219_at, TREX2
1121_at, CHM
11221_at, DUSP10
11222_at, MRPL3
11223_at, MST1L
11226_at, GALNT6
11228_at, RASSF8
1122_at, CHML
11230_at, PRAF2
11231_at, SEC63
11232_at, POLG2
11234_at, HPS5
11235_at, PDCD10
11236_at, RNF139
11237_at, RNF24
11238_at, CA5B
112399_at, EGLN3
1123_at, CHN1
11240_at, PADI2
11243_at, PMF1
11245_at, GPR176
112464_at, PRKCDBP
112479_at, ERI2
11247_at, NXPH4
11248_at, NXPH3
1124_at, CHN2
11250_at, GPR45
11251_at, PTGDR2
11252_at, PACSIN2
11253_at, MAN1B1
11254_at, SLC6A14
11255_at, HRH3
11257_at, TP53TG1
11258_at, DCTN3
11259_at, FILIP1L
11260_at, XPOT
112611_at, RWDD2A
11261_at, CHP1
11262_at, SP140
11264_at, PXMP4
11266_at, DUSP12
11267_at, SNF8
11273_at, ATXN2L
11275_at, KLHL2
11276_at, SYNRG
11277_at, TREX1
11278_at, KLF12
11279_at, KLF8
11280_at, SCN11A
11281_at, POU6F2
11282_at, MGAT4B
11283_at, CYP4F8
11284_at, PNKP
11285_at, B4GALT7
112869_at, CCDC101
112950_at, MED8
1129_at, CHRM2
112_at, ADCY6
11309_at, SLCO2B1
1130_at, LYST
11311_at, VPS45
11313_at, LYPLA2
113146_at, AHNAK2
11314_at, CD300A
11315_at, PARK7
11316_at, COPE
113177_at, IZUMO4
113178_at, SCAMP4
11317_at, RBPJL
11318_at, GPR182
11319_at, ECD
11320_at, MGAT4A
11321_at, GPN1
11322_at, TMC6
113251_at, LARP4
11325_at, DDX42
11326_at, VSIG4
11329_at, STK38
1132_at, CHRM4
11330_at, CTRC
11331_at, PHB2
11332_at, ACOT7
11333_at, PDAP1
11334_at, TUSC2
11335_at, CBX3
11336_at, EXOC3
11337_at, GABARAP
11338_at, U2AF2
11339_at, OIP5
1133_at, CHRM5
11340_at, EXOSC8
113419_at, TEX261
11341_at, SCRG1
11342_at, RNF13
11343_at, MGLL
11344_at, TWF2
11345_at, GABARAPL2
11346_at, SYNPO
1134_at, CHRNA1
1135_at, CHRNA2
1136_at, CHRNA3
113791_at, PIK3IP1
1137_at, CHRNA4
113835_at, ZNF257
113878_at, DTX2
1138_at, CHRNA5
113_at, ADCY7
114034_at, TOE1
114044_at, MCM3AP-AS1
114049_at, WBSCR22
114088_at, TRIM9
1140_at, CHRNB1
114112_at, TXNRD3
1141_at, CHRNB2
1142_at, CHRNB3
114327_at, EFHC1
1143_at, CHRNB4
1144_at, CHRND
114548_at, NLRP3
1145_at, CHRNE
114625_at, ERMAP
1146_at, CHRNG
114791_at, TUBGCP5
1147_at, CHUK
114819_at, CROCCP3
114876_at, OSBPL1A
114881_at, OSBPL7
114882_at, OSBPL8
114883_at, OSBPL9
114884_at, OSBPL10
114885_at, OSBPL11
114897_at, C1QTNF1
114899_at, C1QTNF3
114908_at, TMEM123
114932_at, MRFAP1L1
1149_at, CIDEA
114_at, ADCY8
115123_at, MARCH3
115201_at, ATG4A
115207_at, KCTD12
115290_at, FBXO17
1152_at, CKB
115353_at, LRRC42
1153_at, CIRBP
1154_at, CISH
1155_at, TBCB
115703_at, ARHGAP33
115708_at, TRMT61A
115817_at, DHRS1
1158_at, CKM
115939_at, TSR3
115_at, ADCY9
116039_at, OSR2
1160_at, CKMT2
116138_at, KLHDC3
1161_at, ERCC8
116285_at, ACSM1
116372_at, LYPD1
116496_at, FAM129A
